Funds Center,Name,From,To,User Name,Person Respons.,Fund
20139273,ETCD-Agra,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Arunesh Kumar,
20139274,ETCD-Aligarh,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Jameel Ahamad,
20139275,ETCD I-Kanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Deep Narayan Sri,
20139278,ETCD-Mathura,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Aftab Hassan Maz,
20999242,ZAO-T South-Agra,01.04.2006,31.12.9999,SUPPORT_FI01,Dr.Ram Krishna Paras,
21141282,ECTD-Agra,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Shakti Srivastav,
21141283,ECTD-Aligarh,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sayad Salmaan Mu,
22136263,ETD II-Kanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Jagnayak Singh,
22136264,ETD-Etawah,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ajatshatru,
22136265,ETD-Fatehgarh,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Umesh Verma,
22136266,EFU-Kannauj,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Satya Prakash Pa,
22137267,ETC - Jhansi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Satendra Singh,
22137268,ETD-Jhansi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vinod Kumar Jais,
22137269,ETD-Orai,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ram Kishan,
22137271,E 400 KV SD-Orai,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Lakhan Singh,
22138270,ETD-Banda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ravi Kant Verma,
22138272,E 400 KV SD-Banda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Virendar Singh,
22138280,ETC - Banda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ramesh Chandra,
22138281,ETD-Hamirpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Mukesh Tyagi,
22140276,ETCD-Jhansi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Arvind Kumar,
22140277,ETCD I-Kanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ram Krishna Shuk,
22140279,ETCD-Banda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sunil Kumar,
22999292,ZAO SC Jhansi Trans,01.04.2006,31.12.9999,SUPPORT_FI01,UPPTCL,
23146284,ECTD-Kanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Gagan Bihari Sri,
23146285,ECTD-Jhansi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sachin Agrawal,
23146286,ECTD-Banda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sachin Agrawal,
90999900,Corporate Accounts-U,01.01.1900,31.12.9999,14000312,,
90999901,SLDC Account,01.01.1900,31.12.9999,SUPPORT_FI01,UPSLDC,
90999902,SLDC Account,01.04.2006,31.12.9999,SUPPORT_FI01,UPSLDC,
90999903,SPC-UPSLDC,01.01.1900,31.12.9999,SUPPORT_FI01,UPSLDC,
STATIC,STATIC FC,01.04.2006,31.12.9999,SUPPORT_FI01,UPPTCL,
UPPTCLTAX,UPPTCLTAX,01.04.2006,31.12.9999,SUPPORT_FI01,UPPTCL,
