Mat.Typ,Material,Base Unit of Measure,Mat.Desc,Plant,Mat.Grp,Mat.Grp Desc,Sub group,Sub Group Desc,Split Valuation Status,Serial Number Status
ZSPR,4000004026,NO,"TAG,TIN",4106,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004025,NO,"CONTACT,PORCELAIN TW BLOCK",4271,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004024,NO,LEAD DISK,4290,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004023,NO,UNION PIPE,2198,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004022,NO,RUBBER ASSEMBELY,4125,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004021,NO,RAG BUSH,4194,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004020,NO,"SOCKET,PIPE",4270,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004019,NO,"PISTON,CENTRIFUGING M/C",4264,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004017,NO,"RELAY,INDICATION",4157,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004016,NO,"CONNECTING RING,FUSE",4125,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004015,NO,"SOCKET,KNEE",3131,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004014,NO,"COIL,INTERLOCKING VALVE,BATTERY",4210,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004013,NO,"SUPPORTING ROD,ALUMINIUM",3254,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004012,NO,"SHORTING LINK,CT",4285,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004011,NO,"CLAMP,SUPPORTING,CABLE",4260,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004010,NO,"RS JOIST,150X150X32MM",4152,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004009,NO,"SLEEVE,JOINTING,STEEL",4196,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004008,NO,"COIL,HT,300/5A,700V",4229,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004007,NO,"ELECTRIC BULB,RECTIFIRE",4148,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004005,NO,"SWITCH,DISCONNECTOR,CSDF",4187,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004003,NO,"PRESSURE GAUGE,NITROGEN",3124,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004001,NO,"TANK,CT",4128,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000003999,NO,MATCHING CT,3291,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
